,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
12592,Tony Hawk's Pro Skater 5,PS3,2015.0,Sports,Activision,0.05,0.0,0.0,0.01,0.06,,,3.1,12.0,Robomodo,T
12605,Devil's Third,WiiU,2015.0,Action,Nintendo,0.04,0.02,0.0,0.01,0.06,43.0,54.0,6.5,283.0,Valhalla Game Studios,M
12648,Utawarerumono: Itsuwari no Kamen,PS4,2015.0,Adventure,Aqua Plus,0.0,0.0,0.06,0.0,0.06,,,,,,
12677,Toy Soldiers: War Chest,XOne,2015.0,Action,Ubisoft,0.05,0.0,0.0,0.01,0.06,60.0,14.0,8.4,50.0,Krome Studios,
12684,Exist Archive: The Other Side of the Sky,PSV,2015.0,Role-Playing,Aksys Games,0.01,0.0,0.05,0.0,0.06,71.0,8.0,8.3,12.0,Tri-Ace,T
12723,Samurai Warriors 4: Empires,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,,,tbd,,Omega Force,T
12729,MX vs. ATV Supercross Encore,PS4,2015.0,Sports,Nordic Games,0.0,0.05,0.0,0.01,0.06,42.0,8.0,4.1,9.0,Rainbow Studios,E
12757,Rugby World Cup 2015,PS4,2015.0,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.06,25.0,6.0,1.9,39.0,HB Studios Multimedia,E
12767,Rugby World Cup 2015,PS3,2015.0,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.06,,,tbd,,HB Studios Multimedia,E
12794,Miracle Girls Festival,PSV,2015.0,Misc,Sega,0.0,0.0,0.06,0.0,0.06,,,,,,
12818,Handball 16,PS4,2015.0,Sports,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,,,3,4.0,EKO Software,E
12822,Samurai Warriors 4: Empires,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,,,tbd,,Omega Force,T
12855,Saki: Zenkoku-hen,PSV,2015.0,Misc,Kaga Create,0.0,0.0,0.06,0.0,0.06,,,,,,
12891,Chaos;Child,PSV,2015.0,Adventure,5pb,0.0,0.0,0.05,0.0,0.05,,,,,,
12916,Samurai Warriors 4-II,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,,,tbd,,Omega Force,T
12921,Adventure Time: Finn & Jake Investigations,XOne,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05,,,,,,
12924,New Prince of Tennis: Go to the Top,3DS,2015.0,Action,FuRyu,0.0,0.0,0.05,0.0,0.05,,,,,,
12933,Goosebumps: The Game,3DS,2015.0,Adventure,WayForward Technologies,0.05,0.0,0.0,0.01,0.05,,,tbd,,WayForward,E10+
12945,MotoGP 15,PS3,2015.0,Racing,Milestone S.r.l.,0.0,0.02,0.03,0.0,0.05,,,tbd,,Milestone S.r.l,E10+
12946,Criminal Girls 2,PSV,2015.0,Role-Playing,Nippon Ichi Software,0.01,0.01,0.03,0.01,0.05,,,,,,
12947,Omega Labyrinth,PSV,2015.0,Role-Playing,D3Publisher,0.0,0.0,0.05,0.0,0.05,,,,,,
12987,Arcania: Gothic 4,PS4,2015.0,Role-Playing,Nordic Games,0.04,0.0,0.0,0.01,0.05,,,,,,
13006,WRC 5: FIA World Rally Championship,PS4,2015.0,Sports,Bigben Interactive,0.0,0.05,0.0,0.01,0.05,,,,,,
13010,F1 2015,PC,2015.0,Racing,Codemasters,0.0,0.05,0.0,0.0,0.05,61.0,13.0,3.6,63.0,Codemasters,E
13012,Luminous Arc Infinity,PSV,2015.0,Action,Marvel Entertainment,0.0,0.0,0.05,0.0,0.05,,,,,,
13044,Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05,,,,,,
13048,Mortal Kombat X,PC,2015.0,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0.0,0.0,0.05,76.0,10.0,5.1,475.0,High Voltage Software,M
13054,To Heart 2: Dungeon Travelers,PSV,2015.0,Adventure,Aqua Plus,0.0,0.0,0.05,0.0,0.05,,,,,,
13055,Bladestorm: Nightmare,XOne,2015.0,Action,Tecmo Koei,0.03,0.02,0.0,0.0,0.05,48.0,6.0,7.1,8.0,Omega Force,T
13068,Wasteland 2,XOne,2015.0,Role-Playing,Deep Silver,0.04,0.01,0.0,0.01,0.05,77.0,13.0,7.1,56.0,InXile Entertainment,M
13079,Game of Thrones (Telltale),PS4,2015.0,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05,,,,,,
13081,Legend of Kay,WiiU,2015.0,Action,Nordic Games,0.03,0.02,0.0,0.0,0.05,,,,,,
13114,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,PSV,2015.0,Action,Aksys Games,0.01,0.0,0.04,0.0,0.05,,,,,,
13129,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015.0,Action,Alchemist,0.0,0.0,0.05,0.0,0.05,,,,,,
13144,Steins;Gate 0,PS4,2015.0,Adventure,PQube,0.0,0.0,0.05,0.0,0.05,81.0,17.0,8.3,29.0,5pb,M
13170,Ride,PS3,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.01,0.01,0.05,,,4.8,4.0,Milestone S.r.l,
13180,Sengoku Basara 4: Sumeragi,PS4,2015.0,Action,Capcom,0.0,0.0,0.05,0.0,0.05,,,,,,
13213,Sword Art Online: Game Director's Edition,PS4,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,,,,,,
13241,Grand Ages: Medieval,PC,2015.0,Strategy,Kalypso Media,0.0,0.05,0.0,0.0,0.05,63.0,11.0,5.4,52.0,Gaming Minds Studios,T
13251,Saints Row: Gat out of Hell,PS4,2015.0,Action,Deep Silver,0.0,0.04,0.0,0.01,0.05,64.0,45.0,5.7,98.0,Volition Inc.,M
13314,Utawarerumono: Itsuwari no Kamen,PS3,2015.0,Adventure,Aqua Plus,0.0,0.0,0.05,0.0,0.05,,,,,,
13350,Tokyo Ghoul: Jail,PSV,2015.0,Racing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,,,,,,
13374,Arslan: The Warriors of Legend,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,,,tbd,,Omega Force,T
13390,Yoru no Nai Kuni,PS3,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,,,,,,
13487,Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,,,,,,
13516,Monster High: New Ghoul in School,3DS,2015.0,Action,Little Orbit,0.0,0.04,0.0,0.0,0.04,,,tbd,,"Torus Games, Little Orbit",E
13521,World Trigger: Borderless Mission,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
13560,Pro Evolution Soccer 2016,PC,2015.0,Sports,Konami Digital Entertainment,0.0,0.04,0.0,0.0,0.04,76.0,12.0,4.3,286.0,Konami,E
13589,Shantae and the Pirate's Curse,3DS,2015.0,Platform,Rising Star Games,0.01,0.0,0.03,0.0,0.04,82.0,18.0,8.5,86.0,WayForward,E10+
13590,Yowamushi Pedal,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
13640,Saint Seiya: Soldiers' Soul,PS3,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,6.3,4.0,Dimps Corporation,T
13644,Brothers: A Tale of Two Sons,XOne,2015.0,Adventure,505 Games,0.03,0.01,0.0,0.0,0.04,81.0,6.0,8.9,26.0,Starbreeze,T
13645,NHL Legacy,PS3,2015.0,Action,Electronic Arts,0.03,0.0,0.0,0.01,0.04,,,,,,
13668,Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015.0,Fighting,Marvelous Interactive,0.01,0.0,0.02,0.0,0.04,70.0,33.0,6.9,28.0,"Examu, Marvelous Inc.",T
13695,Gravity Falls: Legend of the Gnome Gemulets,3DS,2015.0,Action,Ubisoft,0.03,0.0,0.0,0.0,0.04,46.0,4.0,5.8,10.0,Ubisoft Osaka,E
13696,Rodea the Sky Soldier,3DS,2015.0,Action,Nippon Ichi Software,0.03,0.0,0.0,0.0,0.04,45.0,7.0,5.6,37.0,"Prope, Kadokawa",E10+
13720,Civilization Beyond Earth: Rising Tide,PC,2015.0,Strategy,Take-Two Interactive,0.0,0.04,0.0,0.0,0.04,,,,,,
13732,Romance of the Three Kingdoms 13,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,,
13783,Monster High: New Ghoul in School,PS3,2015.0,Action,Little Orbit,0.0,0.03,0.0,0.01,0.04,,,tbd,,"Torus Games, Little Orbit",E
13862,BlazBlue: Chrono Phantasma Extend,PS3,2015.0,Action,PQube,0.0,0.0,0.04,0.0,0.04,,,8.3,10.0,Arc System Works,T
13864,Yuki Yuna is a Hero: Memory of the Forest,PSV,2015.0,Action,FuRyu,0.0,0.0,0.04,0.0,0.04,,,,,,
13892,The Sims 4: Spa Day,PC,2015.0,Simulation,Electronic Arts,0.0,0.04,0.0,0.0,0.04,,,7.6,26.0,Maxis,T
13894,Game of Thrones (Telltale),PS3,2015.0,Adventure,Telltale Games,0.02,0.02,0.0,0.01,0.04,,,,,,
13896,Hyperdimension Neptunia Victory II,PS4,2015.0,Role-Playing,Idea Factory International,0.0,0.0,0.04,0.0,0.04,,,,,,
13898,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015.0,Role-Playing,Experience Inc.,0.0,0.0,0.04,0.0,0.04,,,,,,
13905,SpongeBob: HeroPants,3DS,2015.0,Platform,Activision,0.03,0.0,0.0,0.0,0.04,,,tbd,,Activision,E
13910,Corpse Party: Blood Covered - Repeated Fear,3DS,2015.0,Adventure,5pb,0.0,0.0,0.04,0.0,0.04,,,,,,
13919,Gal Gun: Double Peace,PSV,2015.0,Action,PQube,0.0,0.02,0.01,0.01,0.04,,,8.1,10.0,"Alchemist, Inti Creates",M
13929,Don Bradman Cricket 14,XOne,2015.0,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04,,,,,,
13942,LEGO Jurassic World,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.0,0.04,72.0,8.0,7.1,31.0,TT Games,E10+
13944,Famicom Remix Best Choice,3DS,2015.0,Action,Nintendo,0.0,0.0,0.04,0.0,0.04,,,,,,
13957,The Idolm@ster: Must Songs - Red Board / Blue Board,PSV,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
13959,Train Simulator 2016,PC,2015.0,Simulation,Unknown,0.0,0.04,0.0,0.0,0.04,,,4,8.0,Dovetail Games,E
13994,Exist Archive: The Other Side of the Sky,PS4,2015.0,Role-Playing,Aksys Games,0.01,0.0,0.03,0.0,0.04,69.0,13.0,7.9,16.0,Tri-Ace,T
14002,Assassin's Creed Chronicles: China,PS4,2015.0,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,69.0,44.0,6.4,83.0,"Climax Group, Climax Studios",T
14012,Ray Gigant,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,72.0,14.0,8.1,25.0,Bandai Namco Games,T
14044,Nobunaga's Ambition II,3DS,2015.0,Strategy,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,,
14093,Stranger of Sword City,PSV,2015.0,Role-Playing,Nippon Ichi Software,0.02,0.0,0.0,0.01,0.04,71.0,24.0,8,30.0,Experience Inc.,T
14105,DoraMoji: Nobita no Kanji Daisakusen,3DS,2015.0,Misc,Shogakukan,0.0,0.0,0.04,0.0,0.04,,,,,,
14142,The Legend of Heroes: Trails in the Sky SC Evolution,PSV,2015.0,Role-Playing,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14185,Diabolik Lovers: Dark Fate,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,,
14219,Paddington: Adventures in London,3DS,2015.0,Puzzle,Koch Media,0.0,0.03,0.0,0.0,0.03,,,tbd,,Ravenscourt,
14223,Langrisser: Re:Incarnation Tensei,3DS,2015.0,Role-Playing,Extreme Entertainment Group,0.02,0.0,0.01,0.0,0.03,,,,,,
14259,JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,61.0,35.0,7.4,44.0,CyberConnect2,T
14263,Ukiyo no Shishi,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14269,Medabots 9: Metabee / Rokusho,3DS,2015.0,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,,,,,,
14287,YoKai Watch Dance: Just Dance Special Version,WiiU,2015.0,Misc,Level 5,0.0,0.0,0.03,0.0,0.03,,,,,,
14303,Let's Sing 2016,PS4,2015.0,Action,FuRyu Corporation,0.03,0.0,0.0,0.01,0.03,,,tbd,,Voxler,T
14306,Dragon's Dogma Online,PS3,2015.0,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03,,,,,,
14329,Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,,
14332,Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015.0,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,,,,,,
14335,Rugby 15,PSV,2015.0,Sports,Bigben Interactive,0.0,0.03,0.0,0.01,0.03,,,tbd,,HB Studios Multimedia,E
14356,Game of Thrones (Telltale),XOne,2015.0,Adventure,Telltale Games,0.03,0.0,0.0,0.0,0.03,,,,,,
14364,Barbie and Her Sisters Puppy Rescue,3DS,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,,,tbd,,"Torus Games, Little Orbit",E
14388,Airship Q,PSV,2015.0,Platform,Cygames,0.0,0.0,0.03,0.0,0.03,,,,,,
14389,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,,,,,,
14410,Hakuoki Zuisouroku Omokage Hana,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,,
14419,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14420,JoJo's Bizarre Adventure: Eyes of Heaven,PS3,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14422,Rugby World Cup 2015,X360,2015.0,Sports,Ubisoft,0.0,0.03,0.0,0.0,0.03,,,8,5.0,HB Studios Multimedia,E
14426,Game of Thrones (Telltale),X360,2015.0,Adventure,Telltale Games,0.02,0.0,0.0,0.0,0.03,,,,,,
14439,Alia's Carnival! Sacrament,PSV,2015.0,Adventure,dramatic create,0.0,0.0,0.03,0.0,0.03,,,,,,
14452,Bad Apple Wars,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,Otomate,
14458,Renai Revenge,PSV,2015.0,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,,,,,,
14463,WRC 5: FIA World Rally Championship,PSV,2015.0,Sports,Bigben Interactive,0.0,0.02,0.0,0.01,0.03,,,,,,
14476,Transformers: Devastation,PC,2015.0,Action,Activision,0.0,0.03,0.0,0.0,0.03,74.0,9.0,7.6,56.0,PlatinumGames,T
14477,MotoGP 15,XOne,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,65.0,9.0,,,Milestone S.r.l,
14485,Ebikore Photo Kano Kiss ,PSV,2015.0,Action,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14541,Rugby 15,X360,2015.0,Sports,Bigben Interactive,0.0,0.03,0.0,0.0,0.03,,,,,HB Studios Multimedia,E
14546,Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,,,tbd,,Virtual Toys,
14595,Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015.0,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03,,,,,,
14622,Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,2015.0,Action,Sega,0.0,0.0,0.03,0.0,0.03,,,,,,
14626,Higurashi no Naku Koro ni Iki,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,,,,,,
14628,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2015.0,Role-Playing,Idea Factory,0.01,0.01,0.01,0.0,0.03,,,,,,
14633,Romance of the Three Kingdoms II,3DS,2015.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,,
14637,Bladestorm: Nightmare,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,7.4,5.0,Koei Tecmo Games,T
14641,OZMAFIA!! -vivace-,PSV,2015.0,Adventure,dramatic create,0.0,0.0,0.03,0.0,0.03,,,,,,
14645,Kung Fu Panda: Showdown of Legendary Legends,3DS,2015.0,Action,Little Orbit,0.0,0.03,0.0,0.0,0.03,,,tbd,,"Vicious Cycle, Little Orbit",E10+
14653,New Tokyo Legacy: Operation Babel,PSV,2015.0,Role-Playing,5pb,0.0,0.0,0.03,0.0,0.03,,,,,,
14684,Barbie and Her Sisters Puppy Rescue,Wii,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,,,tbd,,"Torus Games, Little Orbit",E
14685,Handball 16,PS3,2015.0,Sports,Bigben Interactive,0.0,0.02,0.0,0.0,0.03,,,tbd,,EKO Software,E
14696,Parfait,PSV,2015.0,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,,,,,,
14701,The Great Mystery Hidden Object Package 5,PC,2015.0,Adventure,Rondomedia,0.0,0.03,0.0,0.0,0.03,,,,,,
14710,The Talos Principle,PS4,2015.0,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.03,88.0,31.0,8.4,124.0,Croteam,E10+
14717,Gudetama: Hanjuku de Tanomuwa,3DS,2015.0,Action,Rocket Company,0.0,0.0,0.03,0.0,0.03,,,,,,
14733,Harukanaru Toki no Naka de 6,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,,
14739,Ride,PC,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,68.0,8.0,4.8,30.0,Milestone S.r.l,E
14804,Kisuato,PSV,2015.0,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,,,,,,
14811,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,2015.0,Simulation,FuRyu,0.0,0.0,0.03,0.0,0.03,,,,,,
14818,Dream Girl Premier,3DS,2015.0,Misc,Alchemist,0.0,0.0,0.03,0.0,0.03,,,,,,
14843,Steins;Gate 0,PS3,2015.0,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,,,,,,
14844,The Peanuts Movie: Snoopy's Grand Adventure,3DS,2015.0,Action,Activision,0.0,0.03,0.0,0.0,0.03,,,8.8,4.0,"Activision, Behaviour Interactive",E
14868,MX vs. ATV Supercross Encore,XOne,2015.0,Sports,Nordic Games,0.02,0.0,0.0,0.0,0.03,45.0,4.0,tbd,,Rainbow Studios,
14887,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14901,The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015.0,Action,Activision,0.0,0.02,0.0,0.0,0.03,59.0,4.0,6.6,19.0,"Activision, Behaviour Interactive",E
14981,BlazBlue: Chrono Phantasma Extend,PSV,2015.0,Action,PQube,0.0,0.02,0.0,0.01,0.03,,,6.8,13.0,Arc System Works,T
14982,Legend of Kay Anniversary,PS4,2015.0,Action,Nordic Games,0.0,0.02,0.0,0.0,0.03,62.0,22.0,6.4,11.0,"Neon Studios, Kaiko",E10+
15014,Blade Arcus from Shining EX,PS4,2015.0,Fighting,Sega,0.0,0.0,0.02,0.0,0.02,,,,,,
15015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,PS3,2015.0,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15021,Monster High: New Ghoul in School,X360,2015.0,Action,Little Orbit,0.0,0.02,0.0,0.0,0.02,,,tbd,,"Torus Games, Little Orbit",E
15048,Final Fantasy XIV: Heavensward,PC,2015.0,Action,Square Enix,0.01,0.01,0.0,0.0,0.02,86.0,14.0,7.7,255.0,Square Enix,T
15051,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15054,Final Fantasy XIV: Heavensward,PS3,2015.0,Action,Square Enix,0.01,0.0,0.01,0.0,0.02,,,8.2,72.0,Square Enix,T
15087,Rugby League Live 3,PS4,2015.0,Action,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,,,7.6,7.0,Big Ant Studios,E
15088,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15099,Winning Post 8 2015,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
15120,Rugby League Live 3,X360,2015.0,Action,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,,,7,4.0,Big Ant Studios,E
15139,Blade Arcus from Shining EX,PS3,2015.0,Fighting,Sega,0.0,0.0,0.02,0.0,0.02,,,,,,
15204,Thomas and Friends: Steaming around Sodor,3DS,2015.0,Action,Avanquest Software,0.0,0.02,0.0,0.0,0.02,,,tbd,,Avanquest Software,
15217,To Love-Ru Trouble: Darkness - True Princess,PSV,2015.0,Action,FuRyu,0.0,0.0,0.02,0.0,0.02,,,,,,
15231,Winning Post 8 2015,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
15234,Ukiyo no Roushi,PSV,2015.0,Action,Unknown,0.0,0.0,0.02,0.0,0.02,,,,,,
15244,Rugby World Cup 2015,XOne,2015.0,Sports,Ubisoft,0.0,0.02,0.0,0.0,0.02,,,4.3,7.0,HB Studios Multimedia,E
15279,Diabolik Lovers: More Blood,PSV,2015.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15354,Rugby League Team Manager 2015,PC,2015.0,Action,Alternative Software,0.0,0.02,0.0,0.0,0.02,,,tbd,,Alternative Software,
15378,Back to the Future: The Game,X360,2015.0,Adventure,Telltale Games,0.02,0.0,0.0,0.0,0.02,,,7.5,10.0,Telltale Games,
15420,Xblaze: Lost Memories,PS3,2015.0,Adventure,Arc System Works,0.02,0.0,0.0,0.0,0.02,63.0,4.0,6.2,5.0,Arc System Works,M
15434,Spirits and Demons: 5 Game Pack,PC,2015.0,Misc,Focus Multimedia,0.0,0.02,0.0,0.0,0.02,,,,,,
15437,Net High,PSV,2015.0,Adventure,Marvelous Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15439,Hakuoki: Shinkai - Furi no Shou,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15454,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15463,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,PSV,2015.0,Strategy,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
15506,Angelique Retour,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
15514,Dynasty Warriors 8: Empires,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,70.0,15.0,7.4,9.0,Omega Force,T
15526,Devil Survivor: Over Clock,3DS,2015.0,Strategy,Atlus,0.0,0.0,0.02,0.0,0.02,,,,,,
15532,Downtown Nekketsu Jidaigek,3DS,2015.0,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02,,,,,,
15550,Otoko Yukaku,PSV,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
15554,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15556,Date-A-Live Twin Edition: Rio Reincarnation,PSV,2015.0,Action,Compile Heart,0.0,0.0,0.02,0.0,0.02,,,,,,
15558,Natsuiro High School: Seishun Hakusho,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
15563,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,PSV,2015.0,Adventure,dramatic create,0.0,0.0,0.02,0.0,0.02,,,,,,
15572,Amatsumi Sora ni! Kumo no Hatate ni,PSV,2015.0,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02,,,,,,
15579,Kung Fu Panda: Showdown of Legendary Legends,PS3,2015.0,Action,Little Orbit,0.0,0.02,0.0,0.0,0.02,,,tbd,,"Vicious Cycle, Little Orbit",E10+
15580,Kung Fu Panda: Showdown of Legendary Legends,X360,2015.0,Action,Little Orbit,0.0,0.02,0.0,0.0,0.02,,,6.8,4.0,"Vicious Cycle, Little Orbit",E10+
15613,Niko Puchi Girls Runway,3DS,2015.0,Misc,Happinet,0.0,0.0,0.02,0.0,0.02,,,,,,
15620,The Crew: Wild Run,XOne,2015.0,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,65.0,5.0,6.6,21.0,Ivory Tower,T
15628,Natsuiro High School: Seishun Hakusho,PS3,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
15631,Lovely x Cation 1 & 2,PSV,2015.0,Action,5pb,0.0,0.0,0.02,0.0,0.02,,,,,,
15634,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,2015.0,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02,,,,,,
15647,7 Roses: A Darkness Rises,PC,2015.0,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02,,,,,,
15662,The Crew: Wild Run,PC,2015.0,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,74.0,6.0,7.4,41.0,Ivory Tower,T
15671,New Atelier Rorona: Hajimari no Monogatari,3DS,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
15728,Prince of Stride,PSV,2015.0,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15752,Back to the Future: The Game,XOne,2015.0,Adventure,Telltale Games,0.0,0.02,0.0,0.0,0.02,,,7.3,7.0,Telltale Games,T
15780,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15796,Abunai: Koi no Sousa Shitsu,PSV,2015.0,Action,Asgard,0.0,0.0,0.02,0.0,0.02,,,,,,
15813,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
15838,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
